distance,time,s,x
0.5,492,,
0.75,494,0.000000002,0.25
1,496,0.000000004,0.5
1.25,498,0.000000006,0.75
1.5,501,0.000000009,1
1.75,503,0.000000011,1.25
2,506,0.000000014,1.5
2.25,509,0.000000017,1.75
2.5,511,0.000000019,2
2.75,514,0.000000022,2.25
3,516,0.000000024,2.5
3.25,521,0.000000029,2.75
3.5,522,0.00000003,3
3.75,524,0.000000032,3.25
4,526,0.000000034,3.5
4.25,527,0.000000035,3.75
4.5,529,0.000000037,4
4.75,532,0.00000004,4.25
5,536,0.000000044,4.5
