I,r
1.3,42.75
1.8,36.375
2.1,30.5
2.6,22.75
2.9,19.625
3.2,16.25
3.5,15.75
3.3,18.75
3.1,21.625
2.8,24
2.5,27.125
2.2,29.625
1.9,33.75
2,31.375
2.3,27.5
2.7,23.875
3,16.5
3.4,14.25
2.4,27
1.7,36.25
