gr	blue	red
0.576	0.878	0.314
0.434	0.953	0.298
0.461	0.858	0.284
0.432	0.843	0.318
0.428	1.109	0.284
0.448	0.808	0.296
0.513	0.804	0.312
0.483	0.934	0.287
0.488	0.864	0.29
0.495	0.865	0.267
0.504	0.853	0.261
0.456	0.969	0.259
0.477	0.998	0.273
0.467	0.875	0.276
0.462	0.896	0.288
